Community,Type,ID,lat,lon,Al,As,Cd,Co,Cr,Cu,Fe,Hg,Mn,Ni,Pb,V,Zn
Akyem Apapam,Birim River (source),BSW2,6.14543,-0.59818,0,0.2,0,0.2,0.1,0.3,0.6,0,0.4,0.5,0.5,0.5,1.7
Bunso,Birim River,BSW1,10.01986,-0.85285,0.3,0.3,0.9,0.1,0.3,5.4,3.1,0.2,7.2,3.5,1.4,0.6,3.4
Kyebi,Birim River,BSW3,6.16281,-0.54944,0.3,0.6,1.3,0.6,0.4,9.7,7.6,0.6,3.2,1.1,3.5,0.8,4.5
Osino,Birim River,BSW4,6.35205,-0.48082,0.4,0.4,0.9,0.2,0.7,6.4,1.2,0.4,2.4,0.6,3,0.4,1.3
Akim Oda,Birim River,BSW5,5.94595,-0.98938,0.4,0.2,1,0.4,0.9,1.2,4.5,0.3,2,0.7,4.5,0.7,2.4
Akyem Apapam BH,Borehole,BGW1,6.15086,-0.59666,0.2,0.2,0.1,0.3,0.1,0.7,2,0,0.5,0,0.3,0.2,1
