Site,PERI_As,PERI_Cd,PERI_Co,PERI_Cr,PERI_Cu,PERI_Fe,PERI_Hg,PERI_Mn,PERI_Ni,PERI_Pb,PERI_Zn
TGW1,0.056603773584905655,3.1383765365967546,0.07646923475201042,0.016336117949016907,0.0019433962264150942,0.0010691823899371068,5.236216856288825,0.0007146226415094339,0.00931935036196981,0.028773584905660374,0.00018616352201257863
TGW2,0.07830188679245283,1.1208487630702697,0.07646923475201042,0.012120345575077062,0.001410377358490566,0.002176100628930818,2.6181084281444127,0.0010400943396226415,0.01716722435099702,0.033018867924528295,0.0003147798742138364
TGW3,0.03679245283018868,6.725092578421618,0.07646923475201042,0.009485487841364658,0.001632075471698113,0.0007044025157232703,2.763558896374658,0.0005188679245283019,0.013733779480797617,0.022641509433962263,0.0002276729559748428
TGW4,0.04811320754716981,1.1208487630702697,0.07646923475201042,0.007904573201137214,0.001712264150943396,0.0006666666666666666,0.14545046823024516,0.0005283018867924527,0.024524606215710027,0.024999999999999998,0.00030566037735849056
TGW5,0.0047169811320754715,13.898524662071345,0.07646923475201042,0.04795441075356576,0.0012783018867924528,0.001,4.072613110446864,0.0012476415094339623,0.011281318859226614,0.033018867924528295,0.00025974842767295594
TGW6,0.04716981132075471,1.1208487630702697,0.07646923475201042,0.01686308949575939,0.002304245283018868,0.0013301886792452828,5.236216856288825,0.000955188679245283,0.005885905491770408,0.0320754716981132,0.00019276729559748425
TGW7,0.030188679245283016,10.311808620246481,0.07646923475201042,0.015282174855531946,0.0016556603773584904,0.0015943396226415095,4.654414983367845,0.000570754716981132,0.01667673222668282,0.020754716981132078,0.00020377358490566034
TGW8,0.023584905660377357,1.1208487630702697,0.07646923475201042,0.009485487841364658,0.001471698113207547,0.0010849056603773584,4.363514046907355,0.0013231132075471699,0.022562637718453227,0.033962264150943396,0.00022075471698113208
TGW9,0.030188679245283016,4.035055547052971,0.07646923475201042,0.006323658560909771,0.0015825471698113205,0.001540880503144654,2.036306555223432,0.0005070754716981131,0.010790826734912414,0.024999999999999998,0.00028238993710691824
TGW10,0.08679245283018866,5.380074062737294,0.07646923475201042,0.011593374028334581,0.0019198113207547168,0.0021572327044025157,3.4908112375258837,0.0010023584905660377,0.007847873989027209,0.03537735849056604,0.00015911949685534592
TGW11,0.04245283018867924,9.415129609790267,0.07646923475201042,0.008431544747879695,0.0021768867924528298,0.0020188679245283017,3.9271626422166195,0.000625,0.005885905491770408,0.02452830188679245,0.000210062893081761
TGW12,0.07169811320754717,1.1208487630702697,0.07646923475201042,0.04268469528614095,0.0017146226415094337,0.0007044025157232703,0.14545046823024516,0.0007405660377358491,0.006866889740398808,0.03443396226415094,0.0002770440251572327
TGW13,0.0490566037735849,4.035055547052971,0.07646923475201042,0.007904573201137214,0.001445754716981132,0.0022893081761006288,5.672568260979562,0.0012452830188679246,0.012262303107855014,0.023584905660377357,0.0001962264150943396
TGW14,0.041509433962264156,10.760148125474588,0.07646923475201042,0.013701260215304505,0.0012358490566037733,0.000669811320754717,3.199910301065394,0.0008018867924528302,0.02550559046433843,0.035849056603773584,0.0003638364779874214
TGW15,0.08773584905660377,14.346864167299453,0.07646923475201042,0.0068506301076522525,0.0013797169811320756,0.001968553459119497,5.090766388058581,0.0008207547169811319,0.01667673222668282,0.01933962264150943,0.00026761006289308174
TGW16,0.01981132075471698,5.380074062737294,0.07646923475201042,0.012120345575077062,0.002235849056603773,0.001531446540880503,6.399820602130788,0.0009882075471698113,0.010790826734912414,0.03537735849056604,0.0003783018867924528
TGW17,0.054716981132075466,2.2416975261405394,0.07646923475201042,0.020551890322956755,0.002191037735849057,0.0011069182389937108,1.7454056187629419,0.0011580188679245283,0.01814820859962542,0.03867924528301886,0.00031289308176100624
TGW18,0.0490566037735849,1.1208487630702697,0.07646923475201042,0.016336117949016907,0.002240566037735849,0.001968553459119497,4.363514046907355,0.0006226415094339623,0.013243287356483417,0.03632075471698113,0.00027672955974842765
TGW19,0.07924528301886792,15.243543177755667,0.07646923475201042,0.05058926848727817,0.0017028301886792452,0.0015786163522012579,1.4545046823024514,0.0008018867924528302,0.026486574712966834,0.03160377358490566,0.00030251572327044023
