Site,HPI_As,HPI_Cd,HPI_Co,HPI_Cr,HPI_Cu,HPI_Fe,HPI_Hg,HPI_Mn,HPI_Ni,HPI_Pb,HPI_Zn
TGW1,0.005660377358490566,0.10461255121989183,0.07646923475201042,0.008168058974508454,0.00038867924528301884,0.0010691823899371068,0.13090542140722064,0.0007146226415094339,0.0018638700723939622,0.005754716981132075,0.00018616352201257863
TGW2,0.007830188679245283,0.03736162543567566,0.07646923475201042,0.006060172787538531,0.0002820754716981132,0.002176100628930818,0.06545271070361032,0.0010400943396226415,0.0034334448701994046,0.00660377358490566,0.0003147798742138364
TGW3,0.0036792452830188677,0.22416975261405395,0.07646923475201042,0.004742743920682329,0.00032641509433962263,0.0007044025157232703,0.06908897240936644,0.0005188679245283019,0.0027467558961595234,0.004528301886792452,0.0002276729559748428
TGW4,0.004811320754716981,0.03736162543567566,0.07646923475201042,0.003952286600568607,0.00034245283018867923,0.0006666666666666666,0.003636261705756129,0.0005283018867924527,0.004904921243142006,0.005,0.00030566037735849056
TGW5,0.0004716981132075472,0.4632841554023782,0.07646923475201042,0.02397720537678288,0.0002556603773584906,0.001,0.1018153277611716,0.0012476415094339623,0.0022562637718453226,0.00660377358490566,0.00025974842767295594
TGW6,0.0047169811320754715,0.03736162543567566,0.07646923475201042,0.008431544747879695,0.00046084905660377363,0.0013301886792452828,0.13090542140722064,0.000955188679245283,0.0011771810983540816,0.00641509433962264,0.00019276729559748425
TGW7,0.0030188679245283017,0.343726954008216,0.07646923475201042,0.007641087427765973,0.0003311320754716981,0.0015943396226415095,0.11636037458419612,0.000570754716981132,0.003335346445336564,0.004150943396226415,0.00020377358490566034
TGW8,0.0023584905660377358,0.03736162543567566,0.07646923475201042,0.004742743920682329,0.0002943396226415094,0.0010849056603773584,0.10908785117268387,0.0013231132075471699,0.004512527543690645,0.006792452830188679,0.00022075471698113208
TGW9,0.0030188679245283017,0.13450185156843236,0.07646923475201042,0.0031618292804548856,0.0003165094339622641,0.001540880503144654,0.0509076638805858,0.0005070754716981131,0.0021581653469824828,0.005,0.00028238993710691824
TGW10,0.008679245283018867,0.17933580209124314,0.07646923475201042,0.005796687014167291,0.00038396226415094337,0.0021572327044025157,0.08727028093814708,0.0010023584905660377,0.001569574797805442,0.007075471698113208,0.00015911949685534592
TGW11,0.0042452830188679245,0.31383765365967553,0.07646923475201042,0.004215772373939847,0.000435377358490566,0.0020188679245283017,0.09817906605541549,0.000625,0.0011771810983540816,0.004905660377358491,0.000210062893081761
TGW12,0.007169811320754717,0.03736162543567566,0.07646923475201042,0.021342347643070476,0.00034292452830188676,0.0007044025157232703,0.003636261705756129,0.0007405660377358491,0.0013733779480797617,0.006886792452830188,0.0002770440251572327
TGW13,0.004905660377358491,0.13450185156843236,0.07646923475201042,0.003952286600568607,0.0002891509433962264,0.0022893081761006288,0.14181420652448903,0.0012452830188679246,0.002452460621571003,0.0047169811320754715,0.0001962264150943396
TGW14,0.004150943396226415,0.3586716041824863,0.07646923475201042,0.0068506301076522525,0.0002471698113207547,0.000669811320754717,0.07999775752663484,0.0008018867924528302,0.005101118092867687,0.007169811320754717,0.0003638364779874214
TGW15,0.008773584905660377,0.47822880557664843,0.07646923475201042,0.0034253150538261262,0.0002759433962264151,0.001968553459119497,0.12726915970146452,0.0008207547169811319,0.003335346445336564,0.0038679245283018866,0.00026761006289308174
TGW16,0.0019811320754716984,0.17933580209124314,0.07646923475201042,0.006060172787538531,0.0004471698113207547,0.001531446540880503,0.15999551505326967,0.0009882075471698113,0.0021581653469824828,0.007075471698113208,0.0003783018867924528
