Site,HPI,PERI,HPI_risk_level,PERI_risk_level,HPI_CI_lower,HPI_CI_upper,PERI_CI_lower,PERI_CI_upper
TGW34,0.8056279947598265,22.86710883981468,Low,Low,0.1259704805278766,0.7267848156896602,1.42076270900369,20.335907586794253
TGW28,0.7336096896835176,20.231101818303205,Low,Low,0.1298401075876001,0.7287875551974055,1.3987976253186738,20.546259343779507
TGW15,0.7047022325984686,19.649139259362613,Low,Low,0.1355474384385323,0.7564974145991298,1.427902275966259,21.14143276324921
TGW26,0.6823710947237754,19.39294339825384,Low,Low,0.1232229047917117,0.7304338039710884,1.4002156156984988,20.484475126898573
TGW23,0.6813075390991488,19.13753446413493,Low,Low,0.1336698207173318,0.7184463096778525,1.4181423194948626,20.305552449633694
