organ,site,group,median,p3,p97
hemato,3,Children,8.15584e-05,4.30929e-05,0.000120193
hemato,3,Teens,7.65918e-05,4.04687e-05,0.000112874
hemato,3,Pregnant,6.82888e-05,3.60816e-05,0.000100637
derm,0,Adults,0.00111813,0.000236866,0.00283325
derm,0,Children,0.00107464,0.000227653,0.00272304
derm,0,Teens,0.000918573,0.000194592,0.00232759
derm,0,Pregnant,0.000618517,0.000131028,0.00156727
derm,1,Adults,0.00404434,0.00085676,0.010248
derm,1,Children,0.0035356,0.000748986,0.00895893
derm,1,Teens,0.00498601,0.00105624,0.0126342
derm,1,Pregnant,0.00398135,0.000843415,0.0100884
derm,2,Adults,0.00110404,0.000233881,0.00279754
derm,2,Children,0.00149558,0.000316826,0.00378968
derm,2,Teens,0.0013473,0.000285413,0.00341394
derm,2,Pregnant,0.00147734,0.000312962,0.00374346
derm,3,Adults,0.00130139,0.000275687,0.00329761
derm,3,Children,0.00121517,0.000257423,0.00307914
derm,3,Teens,0.00114117,0.000241747,0.00289163
derm,3,Pregnant,0.00101746,0.00021554,0.00257816
gi,0,Adults,0.000295551,8.29421e-05,0.000552909
gi,0,Children,0.000284055,7.9716e-05,0.000531404
gi,0,Teens,0.000242803,6.81393e-05,0.000454231
gi,0,Pregnant,0.00016349,4.58813e-05,0.000305854
gi,1,Adults,0.00106903,0.000300007,0.00199991
gi,1,Children,0.000934553,0.000262269,0.00174834
gi,1,Teens,0.00131793,0.00036986,0.00246556
gi,1,Pregnant,0.00105238,0.000295334,0.00196876
gi,2,Adults,0.000291827,8.1897e-05,0.000545943
gi,2,Children,0.000395322,0.000110941,0.000739559
gi,2,Teens,0.000356126,9.99417e-05,0.000666232
gi,2,Pregnant,0.0003905,0.000109588,0.000730539
gi,3,Adults,0.000343991,9.65361e-05,0.00064353
gi,3,Children,0.000321201,9.01406e-05,0.000600896
gi,3,Teens,0.000301641,8.46513e-05,0.000564303
gi,3,Pregnant,0.000268941,7.54746e-05,0.000503129
systemic,0,Adults,0.000999301,0.000196521,0.00240925
systemic,0,Children,0.000960432,0.000188878,0.00231554
systemic,0,Teens,0.000820954,0.000161448,0.00197927
systemic,0,Pregnant,0.000552786,0.00010871,0.00133273
systemic,1,Adults,0.00361454,0.000710831,0.00871442
systemic,1,Children,0.00315986,0.000621415,0.00761822
systemic,1,Teens,0.00445613,0.000876338,0.0107434
systemic,1,Pregnant,0.00355824,0.000699759,0.00857868
systemic,2,Adults,0.000986709,0.000194045,0.00237889
systemic,2,Children,0.00133664,0.000262863,0.00322256
systemic,2,Teens,0.00120411,0.0002368,0.00290304
systemic,2,Pregnant,0.00132034,0.000259656,0.00318325
systemic,3,Adults,0.00116308,0.000228731,0.00280412
systemic,3,Children,0.00108603,0.000213577,0.00261835
systemic,3,Teens,0.00101989,0.000200571,0.0024589
systemic,3,Pregnant,0.000909331,0.000178828,0.00219234
overall,0,Adults,0.00283328,0.000712541,0.00666554
overall,0,Children,0.00272308,0.000684826,0.00640627
overall,0,Teens,0.00232762,0.000585373,0.00547593
